mes_referencia;CIDADE;BLOCO;CATEGORIA;SIT_LIG;ligacoes;economias_totais;economias_sociais;economias_sabren
2026-07-01;RIO DE JANEIRO - B;Bloco 4;RESIDENCIAL;ATIVA;110934;192860;44594;12577
2026-07-01;RIO DE JANEIRO - B;Bloco 4;RESIDENCIAL;CORTADA;17778;28523;4611;1724
2026-07-01;RIO DE JANEIRO - B;Bloco 4;RESIDENCIAL;DESATIVADA;7206;8008;4771;1884
2026-07-01;RIO DE JANEIRO - A;Bloco 4;RESIDENCIAL;ATIVA;281723;713447;166069;40899
2026-07-01;RIO DE JANEIRO - A;Bloco 4;RESIDENCIAL;CORTADA;39281;58388;22849;12486
2026-07-01;RIO DE JANEIRO - A;Bloco 4;RESIDENCIAL;DESATIVADA;18628;19527;15308;7380
2026-07-01;RIO DE JANEIRO - A;Bloco 4;COMERCIAL;CORTADA;8288;13087;6;2
2026-07-01;RIO DE JANEIRO - A;Bloco 4;COMERCIAL;CORTE PEDIDO;270;306;0;0
2026-07-01;RIO DE JANEIRO - A;Bloco 4;INDUSTRIAL;CORTADA;188;195;0;0
2026-07-01;RIO DE JANEIRO - A;Bloco 4;COMERCIAL;ATIVA;30343;80443;69;59
2026-07-01;RIO DE JANEIRO - A;Bloco 4;RESIDENCIAL;INATIVA;1085;1383;876;595
2026-07-01;RIO DE JANEIRO - A;Bloco 4;RESIDENCIAL;PROVISÓRIA;133;150;67;28
2026-07-01;RIO DE JANEIRO;Bloco 1;RESIDENCIAL;ATIVA;29880;274992;15648;10941
2026-07-01;RIO DE JANEIRO;Bloco 1;RESIDENCIAL;CORTADA;2979;4269;3188;2803
2026-07-01;RIO DE JANEIRO - A;Bloco 4;PUBLICA;ATIVA;3949;14042;1;1
2026-07-01;RIO DE JANEIRO;Bloco 1;COMERCIAL;CORTADA;590;1017;0;0
2026-07-01;RIO DE JANEIRO;Bloco 1;RESIDENCIAL;DESATIVADA;1575;1662;1646;1392
2026-07-01;RIO DE JANEIRO - A;Bloco 4;COMERCIAL;INATIVA;67;91;0;0
2026-07-01;RIO DE JANEIRO - B;Bloco 4;COMERCIAL;ATIVA;7433;12330;12;10
2026-07-01;RIO DE JANEIRO - B;Bloco 4;PUBLICA;ATIVA;967;1417;0;0
2026-07-01;RIO DE JANEIRO - B;Bloco 4;COMERCIAL;CORTADA;2696;4099;0;0
2026-07-01;RIO DE JANEIRO - B;Bloco 4;INDUSTRIAL;ATIVA;96;96;0;0
2026-07-01;RIO DE JANEIRO - B;Bloco 4;RESIDENCIAL;INATIVA;360;487;161;73
2026-07-01;RIO DE JANEIRO - B;Bloco 4;COMERCIAL;CORTE PEDIDO;84;94;0;0
2026-07-01;RIO DE JANEIRO - B;Bloco 4;RESIDENCIAL;PROVISÓRIA;14;14;13;9
2026-07-01;RIO DE JANEIRO - A;Bloco 4;RESIDENCIAL;CORTE PEDIDO;364;484;61;50
2026-07-01;RIO DE JANEIRO - A;Bloco 4;PUBLICA;CORTADA;65;192;0;0
2026-07-01;SAO JOAO DE MERITI;Bloco 4;RESIDENCIAL;ATIVA;49926;73214;6355;0
2026-07-01;RIO DE JANEIRO - B;Bloco 4;COMERCIAL;DESATIVADA;58;71;0;0
2026-07-01;RIO DE JANEIRO - A;Bloco 4;COMERCIAL;PROVISÓRIA;6;7;0;0
2026-07-01;RIO DE JANEIRO;Bloco 1;COMERCIAL;ATIVA;8154;39752;0;0
